id,user,uid,version,changeset,timestamp
37130752,geodreieck4711,479256,4,24873407,2014-08-20T00:16:34Z
37130753,istap,120612,1,1707950,2009-07-02T09:27:42Z
37130755,ff5722,3450290,3,44342998,2016-12-12T11:19:58Z
37130756,istap,120612,1,1707950,2009-07-02T09:27:45Z
37130757,istap,120612,1,1707950,2009-07-02T09:27:47Z
37130793,jamesks,2500,24,44333750,2016-12-11T23:56:45Z
37130796,pieleric,352940,4,31417625,2015-05-24T11:44:57Z
37130797,geodreieck4711,479256,3,24873407,2014-08-20T00:15:53Z
37130798,geodreieck4711,479256,3,24873407,2014-08-20T00:15:57Z
37130799,hjkwd,5048339,14,44866299,2017-01-03T09:47:09Z
37130801,巴山夜雨,4379011,7,50682779,2017-07-30T00:37:11Z
37130803,hjkwd,5048339,8,44864238,2017-01-03T07:47:03Z
37130805,hjkwd,5048339,5,44863498,2017-01-03T06:50:53Z
37130807,hjkwd,5048339,4,44864238,2017-01-03T07:47:03Z
37130808,istap,120612,1,1707950,2009-07-02T09:28:52Z
37130809,hjkwd,5048339,3,44864238,2017-01-03T07:47:04Z
37130810,nuklearerWintersturm,75424,2,4685112,2010-05-13T11:45:37Z
37130811,hjkwd,5048339,3,44864238,2017-01-03T07:47:04Z
37130812,nuklearerWintersturm,75424,2,4685112,2010-05-13T11:47:12Z
37130822,somethingsimple,3692997,6,39700049,2016-05-31T23:39:57Z
37130823,hanchao,499500,3,25563019,2014-09-20T16:31:31Z
37130824,eric22,160949,3,38394474,2016-04-07T23:35:36Z
37130825,eric22,160949,2,38394474,2016-04-07T23:35:37Z
37130826,eric22,160949,3,38394474,2016-04-07T23:35:37Z
37130827,eric22,160949,5,38394474,2016-04-07T23:35:42Z
37130828,eric22,160949,3,38394474,2016-04-07T23:35:36Z
37130829,pieleric,352940,4,31417625,2015-05-24T11:44:57Z
37130830,hjkwd,5048339,5,51999378,2017-09-13T09:48:22Z
37130831,jamesks,2500,5,44673008,2016-12-26T01:50:39Z
37130832,hanchao,499500,6,31832997,2015-06-09T03:02:44Z
37130833,dannykath,2226712,4,32628363,2015-07-14T13:51:03Z
37130834,巴山夜雨,4379011,12,50682779,2017-07-30T00:37:11Z
37130835,jamesks,2500,9,44306713,2016-12-10T17:57:39Z
37130836,jamesks,2500,4,44306713,2016-12-10T17:57:39Z
37130839,hjkwd,5048339,5,44848872,2017-01-02T16:15:51Z
37130840,hjkwd,5048339,6,44848872,2017-01-02T16:15:51Z
37130843,nuklearerWintersturm,75424,2,4685112,2010-05-13T11:46:06Z
37130844,nuklearerWintersturm,75424,2,4685112,2010-05-13T11:48:28Z
37130845,hjkwd,5048339,3,44849904,2017-01-02T16:58:55Z
37130846,hjkwd,5048339,3,44849904,2017-01-02T16:58:56Z
37130847,hjkwd,5048339,4,44849904,2017-01-02T16:58:56Z
37130848,hjkwd,5048339,3,44864238,2017-01-03T07:47:04Z
37130849,jamesks,2500,2,44306713,2016-12-10T17:57:39Z
