id,key,value,type
37130844,highway,unclassified,regular
37130845,name,石人南路,regular
37130845,highway,tertiary,regular
37130846,name,摸底河横街,regular
37130846,highway,residential,regular
37130847,name,锦西路,regular
37130847,highway,residential,regular
37130848,name,同盛路,regular
37130848,highway,residential,regular
37130849,highway,tertiary,regular
37130851,name,锦翠南路,regular
37130851,highway,residential,regular
37130852,name,锦屏路二巷,regular
37130852,highway,residential,regular
37130853,name,同德街,regular
37130853,highway,residential,regular
37130854,name,锦屏路一巷,regular
37130854,highway,residential,regular
37130855,highway,residential,regular
37130857,highway,residential,regular
37130857,name,同怡路,regular
37130858,name,双顺路,regular
37130858,highway,residential,regular
37130859,highway,residential,regular
37130860,highway,residential,regular
37132222,name,锦江- Jin Jiang,regular
37132222,waterway,river,regular
37132231,boat,no,regular
37132231,name,锦江,regular
37132231,source,landsat,regular
37132231,en,Jin Jiang,name
37132231,zh,锦江,name
37132231,waterway,river,regular
37132249,name,紫竹南二街,regular
37132249,highway,tertiary,regular
37132250,name,紫竹北街,regular
37132250,oneway,yes,regular
37132250,highway,tertiary,regular
37132251,name,紫竹南一街,regular
37132251,highway,tertiary,regular
37132252,name,紫竹中街,regular
37132252,oneway,no,regular
37132252,highway,tertiary,regular
37132255,highway,secondary,regular
37132255,name,桐梓林路,regular
37132256,name,桐梓林北路,regular
37132256,highway,tertiary,regular
37132257,highway,tertiary,regular
37132257,name,桐梓琳中路,regular
37132257,zh,Tongzilin Middle Road,name
37132258,highway,tertiary,regular
37132258,name,桐梓琳南路,regular
37132258,zh,Tongzilin South Road,name
37132258,oneway,yes,regular
37132259,name,桐梓林东路,regular
37132259,oneway,yes,regular
37132259,highway,residential,regular
37132259,en,Tongzilin East Road,name
37132259,zh,桐梓林东路,name
37132261,highway,secondary,regular
37132261,name,航空路,regular
37132261,en,Hangkong Road,name
37132261,zh,航空路,name
37132261,zh_pinyin,hángkōng lù,name
37132262,highway,tertiary,regular
37132262,name,新希望路,regular
37132263,name,东湖,regular
37132263,en,Donghu Lake,name
37132263,zh,东湖,name
37132263,natural,water,regular
37132263,zh_pinyin,Dōnghú,name
37132264,natural,water,regular
37132265,natural,water,regular
37132266,highway,secondary,regular
37132266,name,倪家桥路,regular
37132266,en,Ni Jia Qiao Lu,name
37132266,zh,倪家桥路,name
37132267,highway,tertiary,regular
37132272,name,Dongfeng Bridge,regular
37132272,layer,1,regular
37132272,bridge,yes,regular
37132272,highway,primary,regular
37132272,en,Dongfeng Bridge,name
37379880,lanes,3,regular
37379880,layer,1,regular
37379880,oneway,yes,regular
37379880,highway,motorway,regular
37379881,lanes,3,regular
37379881,layer,1,regular
37379881,oneway,yes,regular
37379881,highway,motorway,regular
37379884,lanes,3,regular
37379884,bridge,yes,regular
37379884,oneway,yes,regular
37379884,highway,motorway,regular
37379885,highway,motorway,regular
37379885,lanes,3,regular
37379885,name,四环路西段,regular
37379885,oneway,yes,regular
37379885,ref,G4201,regular
37379885,source,Bing,regular
37379886,lanes,1,regular
37379886,layer,1,regular
37379886,oneway,yes,regular
37379886,highway,motorway_link,regular
37379888,lanes,1,regular
37379888,layer,1,regular
37379888,oneway,yes,regular
37379888,highway,motorway_link,regular
37379921,lanes,3,regular
37379921,layer,1,regular
37379921,bridge,yes,regular
37379921,oneway,yes,regular
37379921,highway,motorway,regular
37379922,lanes,3,regular
37379922,layer,2,regular
37379922,bridge,yes,regular
37379922,oneway,yes,regular
37379922,highway,motorway,regular
37379923,lanes,3,regular
37379923,layer,2,regular
37379923,bridge,yes,regular
37379923,oneway,yes,regular
37379923,highway,motorway,regular
37379924,lanes,3,regular
37379924,layer,1,regular
37379924,bridge,yes,regular
37379924,oneway,yes,regular
37379924,highway,motorway,regular
37379925,lanes,1,regular
37379925,layer,1,regular
37379925,oneway,yes,regular
37379925,highway,motorway_link,regular
37379926,lanes,1,regular
37379926,layer,2,regular
37379926,bridge,yes,regular
37379926,oneway,yes,regular
37379926,highway,motorway_link,regular
37379937,lanes,1,regular
37379937,layer,2,regular
37379937,bridge,yes,regular
37379937,oneway,yes,regular
37379937,highway,motorway_link,regular
37379944,lanes,1,regular
37379944,layer,2,regular
37379944,bridge,yes,regular
37379944,oneway,yes,regular
37379944,highway,motorway_link,regular
37379954,lanes,1,regular
37379954,layer,1,regular
37379954,oneway,yes,regular
37379954,highway,motorway_link,regular
37379963,lanes,1,regular
37379963,layer,2,regular
37379963,bridge,yes,regular
37379963,oneway,yes,regular
37379963,highway,motorway_link,regular
37379992,layer,3,regular
37379992,barrier,toll_booth,regular
37379992,building,yes,regular
37380650,lanes,3,regular
37380650,layer,3,regular
37380650,bridge,yes,regular
37380650,oneway,yes,regular
37380650,highway,trunk,regular
37380658,lanes,3,regular
37380658,layer,3,regular
37380658,bridge,yes,regular
37380658,oneway,yes,regular
37380658,highway,trunk,regular
37380660,lanes,3,regular
37380660,oneway,yes,regular
37380660,highway,trunk,regular
37380662,bridge,yes,regular
37380662,highway,trunk_link,regular
37380662,lanes,1,regular
37380662,layer,2,regular
37380662,oneway,yes,regular
37380663,bridge,yes,regular
37380663,highway,trunk_link,regular
37380663,lanes,1,regular
37380663,layer,2,regular
37380663,oneway,yes,regular
37380664,bridge,yes,regular
37380664,highway,trunk_link,regular
37380664,lanes,1,regular
37380664,layer,2,regular
37380664,oneway,yes,regular
37380667,bridge,yes,regular
37380667,highway,trunk_link,regular
37380667,lanes,1,regular
37380667,layer,2,regular
37380667,oneway,yes,regular
37380674,bridge,yes,regular
37380674,highway,trunk_link,regular
37380674,lanes,1,regular
37380674,layer,2,regular
37380674,oneway,yes,regular
37380677,bridge,yes,regular
37380677,highway,trunk_link,regular
37380677,lanes,1,regular
37380677,layer,2,regular
37380677,oneway,yes,regular
37380681,bridge,yes,regular
37380681,highway,trunk_link,regular
37380681,lanes,1,regular
37380681,layer,2,regular
37380681,oneway,yes,regular
37380682,bridge,yes,regular
37380682,highway,trunk_link,regular
37380682,lanes,1,regular
37380682,layer,2,regular
37385920,lanes,3,regular
37385920,layer,2,regular
37385920,bridge,yes,regular
37385920,oneway,yes,regular
37385920,highway,motorway,regular
37385926,lanes,3,regular
37385926,layer,3,regular
37385926,bridge,yes,regular
37385926,oneway,yes,regular
37385926,highway,trunk,regular
37385927,lanes,3,regular
37385927,layer,3,regular
37385927,bridge,yes,regular
37385927,oneway,yes,regular
37385927,highway,trunk,regular
37387190,lanes,1,regular
37387190,layer,1,regular
37387190,oneway,yes,regular
37387190,highway,motorway_link,regular
37387196,ref,G5,regular
37387196,lanes,3,regular
37387196,oneway,yes,regular
37387196,source,Bing,regular
37387196,highway,motorway,regular
37387198,lanes,2,regular
37387198,layer,1,regular
37387198,bridge,yes,regular
37387198,oneway,yes,regular
37387198,highway,motorway,regular
37387201,highway,motorway,regular
37387201,lanes,3,regular
37387201,name,四环路西段,regular
37387201,oneway,yes,regular
37387201,ref,G4201,regular
37387201,toll,yes,regular
37387204,lanes,1,regular
37387204,layer,1,regular
37387204,bridge,yes,regular
37387204,oneway,yes,regular
37387204,highway,motorway_link,regular
37387205,lanes,1,regular
37387205,oneway,yes,regular
37387205,highway,motorway_link,regular
37387208,lanes,1,regular
37387208,layer,1,regular
37387208,bridge,yes,regular
37387208,oneway,yes,regular
37387208,highway,motorway_link,regular
37387209,ref,S6,regular
37387209,name,火车南站西路,regular
37387209,lanes,2,regular
37387209,oneway,yes,regular
37387209,highway,motorway,regular
37387214,lanes,1,regular
37387214,layer,1,regular
37387214,bridge,yes,regular
37387214,oneway,yes,regular
37387214,highway,motorway_link,regular
37389822,lanes,3,regular
37389822,layer,2,regular
37389822,bridge,yes,regular
37389822,oneway,yes,regular
37389822,highway,motorway,regular
37389843,name,中南大街,regular
37389843,lanes,2,regular
37389843,oneway,yes,regular
37389843,highway,primary,regular
37389843,en,Mid Nandajie Street,name
37389849,name,机场高速,regular
37389849,lanes,2,regular
37389849,layer,1,regular
37389849,bridge,yes,regular
37389849,oneway,yes,regular
37389849,highway,motorway,regular
37389849,int_name,Airport Tollway,regular
37389849,maxspeed,100,regular
37389849,motorroad,yes,regular
37389851,lanes,2,regular
37389851,layer,1,regular
37389851,oneway,yes,regular
37389851,highway,motorway,regular
37389851,maxspeed,100,regular
37389868,oneway,yes,regular
37389868,highway,service,regular
37389877,oneway,yes,regular
37389877,highway,service,regular
37389878,highway,service,regular
37389878,service,parking_aisle,regular
37389879,highway,service,regular
37389880,highway,service,regular
37389880,service,parking_aisle,regular
37389881,highway,service,regular
37389881,service,parking_aisle,regular
37389882,highway,service,regular
37389882,service,parking_aisle,regular
37389883,highway,service,regular
37389883,service,parking_aisle,regular
37389884,highway,service,regular
37389884,service,parking_aisle,regular
37389885,highway,service,regular
37389885,service,parking_aisle,regular
37389888,lanes,2,regular
37389888,layer,1,regular
37389888,bridge,yes,regular
37389888,oneway,yes,regular
37389888,highway,primary,regular
37389889,lanes,2,regular
37389889,layer,1,regular
37389889,oneway,yes,regular
37389889,highway,primary,regular
37389889,maxspeed,60,regular
37389892,area,yes,regular
37389892,aeroway,apron,regular
37389893,ref,A3,regular
37389893,aeroway,taxiway,regular
37389894,ref,A4,regular
37389894,source,Bing,regular
37389894,aeroway,taxiway,regular
37389895,source,Bing,regular
37389895,aeroway,taxiway,regular
37389896,aeroway,taxiway,regular
37389896,ref,A5,regular
37389896,source,Bing,regular
37389897,source,Bing,regular
37389897,aeroway,taxiway,regular
37389898,area,yes,regular
37389898,aeroway,apron,regular
37389899,aeroway,taxiway,regular
37389899,ref,B2,regular
37389909,area,yes,regular
37389909,aeroway,apron,regular
37389924,source,Bing,regular
37389924,aeroway,taxiway,regular
37389933,ref,A6,regular
37389933,aeroway,taxiway,regular
37389935,source,Bing,regular
37389935,aeroway,taxiway,regular
37389936,aeroway,taxiway,regular
37389936,ref,B,regular
37389936,source,Bing,regular
37389937,source,Bing,regular
37389937,aeroway,parking_position,regular
37389938,source,Bing,regular
37389938,aeroway,taxiway,regular
37389939,aeroway,taxiway,regular
37389940,name,停车场,regular
37389940,amenity,parking,regular
37389945,building,yes,regular
37389980,name,机场东一路,regular
37389980,layer,1,regular
37389980,oneway,yes,regular
37389980,highway,tertiary,regular
37389981,oneway,yes,regular
37389981,highway,tertiary,regular
37389982,highway,service,regular
37389983,highway,service,regular
37389984,highway,service,regular
37389985,highway,service,regular
37389986,building,yes,regular
37389988,building,yes,regular
37389989,building,yes,regular
37389990,building,yes,regular
37389992,waterway,canal,regular
37389994,building,yes,regular
37389995,building,yes,regular
37389996,building,yes,regular
37389997,building,yes,regular
37389998,building,yes,regular
37389999,building,yes,regular
37390013,building,yes,regular
37390014,building,yes,regular
37402458,lanes,1,regular
37402458,layer,1,regular
37402458,bridge,yes,regular
37402458,oneway,yes,regular
37402458,highway,motorway_link,regular
37402493,name,Toll collection point,regular
37402493,source,observation,regular
37402493,building,yes,regular
37402493,designation,barrier=toll_booth,regular
37403621,bridge,yes,regular
37403621,highway,motorway,regular
37403621,lanes,3,regular
37403621,layer,1,regular
37403621,name,四环路南段,regular
37403621,oneway,yes,regular
37403621,ref,G4201,regular
37403624,highway,motorway,regular
37403624,lanes,3,regular
37403624,name,四环路南段,regular
37403624,oneway,yes,regular
37403624,ref,G4201,regular
37403630,lanes,1,regular
37403630,layer,1,regular
37403630,bridge,yes,regular
37403630,oneway,yes,regular
37403630,highway,motorway_link,regular
37403632,layer,1,regular
37403632,bridge,yes,regular
37403632,oneway,yes,regular
37403632,highway,motorway_link,regular
37403634,lanes,1,regular
37403634,layer,1,regular
37403634,bridge,yes,regular
37403634,oneway,yes,regular
37403634,highway,motorway_link,regular
37403636,lanes,1,regular
37403636,highway,motorway_link,regular
37403638,building,yes,regular
37403639,building,yes,regular
37403640,area,yes,regular
37403640,landuse,industrial,regular
37403645,highway,unclassified,regular
37404207,ref,G76,regular
37404207,lanes,3,regular
37404207,oneway,yes,regular
37404207,highway,motorway,regular
37404208,bridge,yes,regular
37404208,highway,primary,regular
37404208,lanes,3,regular
37404208,layer,1,regular
37404208,name,迎晖路,regular
37404208,oneway,yes,regular
37404209,highway,motorway,regular
37404209,lanes,3,regular
37404209,name,四环路东段,regular
37404209,oneway,yes,regular
37404209,ref,G4201,regular
37404212,bridge,yes,regular
37404212,highway,motorway,regular
37404212,lanes,3,regular
37404212,layer,1,regular
37404212,name,四环路南段,regular
37404212,oneway,yes,regular
37404212,ref,G4201,regular
37404214,lanes,1,regular
37404214,layer,2,regular
37404214,oneway,yes,regular
37404214,highway,motorway_link,regular
37404216,lanes,1,regular
37404216,oneway,yes,regular
37404216,highway,motorway_link,regular
37404217,lanes,1,regular
37404217,oneway,yes,regular
37404217,highway,motorway_link,regular
37404218,lanes,1,regular
37404218,layer,1,regular
37404218,oneway,yes,regular
37404218,highway,motorway_link,regular
37404220,highway,motorway,regular
37404220,lanes,3,regular
37404220,layer,1,regular
37404220,name,四环路东段,regular
37404220,oneway,yes,regular
37404222,lanes,3,regular
37404222,oneway,yes,regular
37404222,highway,motorway,regular
37404223,bridge,yes,regular
37404223,highway,motorway,regular
37404223,lanes,3,regular
37404223,layer,1,regular
37404223,name,四环路南段,regular
37404223,oneway,yes,regular
37404223,ref,G4201,regular
37404224,lanes,1,regular
37404224,layer,1,regular
37404224,oneway,yes,regular
37404224,highway,motorway_link,regular
37404226,lanes,1,regular
37404226,layer,1,regular
37404226,bridge,yes,regular
37404226,oneway,yes,regular
37404226,highway,motorway_link,regular
37404227,lanes,1,regular
37404227,layer,1,regular
37404227,oneway,yes,regular
37404227,highway,motorway_link,regular
37404230,lanes,1,regular
37404230,oneway,yes,regular
37404230,highway,motorway_link,regular
37404232,oneway,yes,regular
37404232,highway,motorway_link,regular
37404233,lanes,1,regular
37404233,oneway,yes,regular
37404233,highway,motorway_link,regular
37413203,lanes,1,regular
37413203,layer,1,regular
37413203,bridge,yes,regular
37413203,oneway,yes,regular
37413203,highway,motorway_link,regular
37413204,lanes,1,regular
37413204,oneway,yes,regular
37413204,highway,motorway_link,regular
37449233,oneway,yes,regular
37449233,highway,motorway_link,regular
37449834,lanes,1,regular
37449834,layer,3,regular
37449834,bridge,yes,regular
37449834,oneway,yes,regular
37449834,highway,motorway_link,regular
37449835,lanes,1,regular
37449835,layer,3,regular
37449835,bridge,yes,regular
37449835,oneway,yes,regular
37449835,highway,motorway_link,regular
37449839,lanes,1,regular
37449839,layer,2,regular
37449839,bridge,yes,regular
37449839,oneway,yes,regular
37449839,highway,motorway_link,regular
37449842,lanes,1,regular
37449842,layer,3,regular
